Online ISBN,Author,Book Title,Series,Category,Publisher,Product Group,Core Subjects,Cambridge Core DOI/URL
9.78E+12,Lapidoth,A Foundation in Digital Communication,,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Communications and Signal Processing, Wireless Communications",https://doi.org/10.1017/9781316822708
9.78E+12,Bonn et al,Peatland Restoration and Ecosystem Services,Ecological Reviews,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Ecology and Conservation, Natural Resource Management, Agriculture, Horticulture and forestry",https://doi.org/10.1017/CBO9781139177788
9.78E+12,Hutchinson,A Student's Guide to Numerical Methods,Student's Guides,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Engineering, Mathematical Methods, Engineering: General Interest, General and Classical Physics",https://doi.org/10.1017/CBO9781316155516
9.78E+12,Dimitrov/Haas,Principles of LED Light Communications,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Electronic, Optoelectronic Devices, and Nanotechnology, Communications and Signal Processing",https://doi.org/10.1017/CBO9781107278929
9.78E+12,Lycett,A Monograph of the Mollusca from the Great Oolite,Cambridge Library Collection - Monographs of the Palaeontographical Society,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, Earth and Environmental Sciences, Zoology, Evolutionary Biology, Palaeontology and Life History",https://doi.org/10.1017/CBO9781316143483
9.78E+12,Wood,A Monograph of the Crag Mollusca,Cambridge Library Collection - Monographs of the Palaeontographical Society,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, Earth and Environmental Sciences, Evolutionary Biology, Palaeontology and Life History, Zoology",https://doi.org/10.1017/CBO9781139680745
9.78E+12,Van Mieghem,Performance Analysis of Complex Networks and Systems,,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Statistics and Probability, Communications and Signal Processing, Computational Statistics, Machine Learning and Information Science",https://doi.org/10.1017/CBO9781107415874
9.78E+12,Bewick,History of British Birds,Cambridge Library Collection - Zoology,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, General Science, Zoology, Popular Science",https://doi.org/10.1017/CBO9781107324916
9.78E+12,Iben,Stellar Evolution Physics,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,,https://doi.org/10.1017/CBO9781139061230
9.78E+12,Thistlethwaite,Values-Based Interprofessional Collaborative Practice,Values-Based Practice,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Medicine: General Interest",https://doi.org/10.1017/CBO9781139108904
9.78E+12,Cuvier/Griffith/Pidgeon,The Animal Kingdom,Cambridge Library Collection - Zoology,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, General Science, Zoology, History of Science",https://doi.org/10.1017/CBO9781139227025
